Number, Confidence, Flow, Start Time, End Time, Answer Label, Classified Label, Classified Probability
1, 0.9969199895858765, 127.0.0.5:443-127.0.0.4:7446, 1674497392.6, 1674497393.6, 0, 1, 0.4747424683550189
2, 0.9757782816886902, 127.0.0.5:443-127.0.0.4:7446, 1674497392.7, 1674497393.7, 0, 1, 0.4485354682792536
3, 0.9757782816886902, 127.0.0.6:7192-127.0.0.7:8281, 1674497393.0, 1674497394.0, 0, 1, 0.4485354682792536
4, 0.9757782816886902, 127.0.0.6:8382-127.0.0.8:8100, 1674497393.3, 1674497394.3, 0, 1, 0.4485354682792536
5, 0.9757782816886902, 127.0.0.6:3911-127.0.0.9:443, 1674497393.6, 1674497394.6, 0, 1, 0.4485354682792536
6, 0.9969199895858765, 127.0.0.15:443-127.0.0.4:3156, 1674497394.1, 1674497395.1, 0, 1, 0.4606416786408329
7, 0.9969199895858765, 127.0.0.1:1374-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.47474253535958383
8, 0.9969199895858765, 127.0.0.1:1375-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.47474243614466966
9, 0.9969199895858765, 127.0.0.1:1376-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4747424286892424
10, 0.9969199895858765, 127.0.0.1:1377-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4747424112915219
11, 0.9757782816886902, 127.0.0.1:1378-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
12, 0.9757782816886902, 127.0.0.1:1379-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
13, 0.9757782816886902, 127.0.0.1:1380-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
14, 0.9757782816886902, 127.0.0.1:1381-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
15, 0.9757782816886902, 127.0.0.1:1382-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
16, 0.9969199895858765, 127.0.0.1:1373-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.47474255275744653
17, 0.9757782816886902, 127.0.0.1:1374-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
18, 0.9757782816886902, 127.0.0.1:1375-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
19, 0.9757782816886902, 127.0.0.1:1376-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
20, 0.9757782816886902, 127.0.0.1:1377-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
21, 0.9757782816886902, 127.0.0.1:1373-127.0.0.6:23, 1674497395.1, 1674497396.1, 1, 1, 0.4485354682792536
22, 0.9969199895858765, 127.0.0.1:1380-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47466800510464624
23, 0.9969199895858765, 127.0.0.1:1378-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47466381288561305
24, 0.9969199895858765, 127.0.0.1:1379-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47467451182944137
25, 0.9969199895858765, 127.0.0.1:1382-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47466382283210007
26, 0.9969199895858765, 127.0.0.1:1380-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747381675594376
27, 0.9969199895858765, 127.0.0.1:1378-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747381625896026
28, 0.9969199895858765, 127.0.0.1:1379-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747484664439698
29, 0.9969199895858765, 127.0.0.1:1382-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747381799848914
30, 0.9969199895858765, 127.0.0.1:1380-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47480158283523727
31, 0.9969199895858765, 127.0.0.1:1378-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4748015828353927
32, 0.9969199895858765, 127.0.0.1:1379-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47481009887294306
33, 0.9969199895858765, 127.0.0.1:1382-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47480159765786284
34, 0.9757782816886902, 127.0.0.1:1380-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
35, 0.9757782816886902, 127.0.0.1:1378-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
36, 0.9757782816886902, 127.0.0.1:1379-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
37, 0.9757782816886902, 127.0.0.1:1382-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
38, 0.9969199895858765, 127.0.0.1:1388-127.0.0.6:23, 1674497396.0, 1674497397.0, 1, 1, 0.47465369324635126
39, 0.9969199895858765, 127.0.0.1:1389-127.0.0.6:23, 1674497396.0, 1674497397.0, 1, 1, 0.4746536734720884
40, 0.9969199895858765, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.47465372297073327
41, 0.9969199895858765, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.47472725764701595
42, 0.9969199895858765, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747272874686121
43, 0.9969199895858765, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747273097354312
44, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4745947863623794
45, 0.9969199895858765, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747924042808643
46, 0.9969199895858765, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.47479245139118975
47, 0.9969199895858765, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747924389716173
48, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4746742733862855
49, 0.9757782816886902, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4485354682792536
50, 0.9757782816886902, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4485354682792536
51, 0.9757782816886902, 127.0.0.6:3692-127.0.0.5:443, 1674497396.2, 1674497397.2, 0, 1, 0.4485354682792536
52, 0.9757782816886902, 127.0.0.1:1386-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4485354682792536
53, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4747429789188743
54, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4748101187395645
55, 0.9969199895858765, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.2, 1674497397.2, 0, 1, 0.4745560570427313
56, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4745182437760026
57, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.47451822401034777
58, 0.9757782816886902, 127.0.0.6:8382-127.0.0.8:8100, 1674497397.6, 1674497398.6, 0, 1, 0.4485354682792536
59, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.47316520416786734
60, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4746068196275464
61, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4746068196275464
62, 0.9969199895858765, 127.0.0.13:443-127.0.0.4:3646, 1674497397.6, 1674497398.6, 0, 1, 0.4606416786408329
63, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.4734088009602551
64, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.4746849020766452
65, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.47468489959045596
66, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.47362515903108826
67, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.4747576883532648
68, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.4747576462969871
69, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4738532328183674
70, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.47481778650726775
71, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4748177494068653
72, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4740194542850476
73, 0.9757782816886902, 127.0.0.1:1391-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4485354682792536
74, 0.9757782816886902, 127.0.0.1:1392-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4485354682792536
75, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.0, 1674497399.0, 1, 1, 0.4741627959538373
76, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.1, 1674497399.1, 1, 1, 0.4742937302787164
77, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.2, 1674497399.2, 1, 1, 0.4744259592711978
78, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.3, 1674497399.3, 1, 1, 0.47452517302150404
79, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.4, 1674497399.4, 1, 1, 0.4746183227705024
